sample_order,sample_id,dataset.code_ascii_txt,id.layer_uuid_txt,id.scan_local_c,scan.mir.model.name_utf8_txt,scan.mir.model.code_any_txt,scan.mir.method.preparation_any_txt,scan.mir.license.title_ascii_txt,scan.mir.license.address_idn_url,scan.mir.doi_idf_url,N,P,K
246,a7020121ef583d89be2614e54edf4a1e,KSSL.SSL,a7020121ef583d89be2614e54edf4a1e,158183XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.02504,12.65453,0.06765
247,91ced3c7c03c6cbe8b6cab31c9ff10d5,KSSL.SSL,91ced3c7c03c6cbe8b6cab31c9ff10d5,69216XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.02888,1.53898,1.54124
248,a2395bac9bf63c1274c454829fab87ae,KSSL.SSL,a2395bac9bf63c1274c454829fab87ae,252671XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.07203,3.07446,2.54373
249,e08d986f736bdc9383788dc4e6b93528,KSSL.SSL,e08d986f736bdc9383788dc4e6b93528,232328XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.08278,0.98402,0.57007
250,e8525f8a87831da5de041b8ea9841dfd,KSSL.SSL,e8525f8a87831da5de041b8ea9841dfd,222956XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.13894,1.47757,0.16459
251,619cd81230d4626b2b144aba9e2e10eb,KSSL.SSL,619cd81230d4626b2b144aba9e2e10eb,263340XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.37419,17.74923,3.1353
252,72340ddb9581fd1269c3c0c79779720d,KSSL.SSL,72340ddb9581fd1269c3c0c79779720d,247184XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.17979,27.74149,1.09765
253,072df7a1dec9339c3c7d2fbdf9effa31,KSSL.SSL,072df7a1dec9339c3c7d2fbdf9effa31,153055XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.43857,3.3617,2.77564
254,b268e08e6255f4aae8dc90fe22c8435f,KSSL.SSL,b268e08e6255f4aae8dc90fe22c8435f,321411XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.07078,1.17901,0.41104
255,c017dbcb7d506744045409a577d8be20,KSSL.SSL,c017dbcb7d506744045409a577d8be20,244346XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.99719,12.37615,0.19085
256,204544fd5526e6e0c712a61a34d7352f,KSSL.SSL,204544fd5526e6e0c712a61a34d7352f,260386XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.14282,19.11703,0.18324
257,cd7f5fef66e69a006c3190b4745dfe76,KSSL.SSL,cd7f5fef66e69a006c3190b4745dfe76,162284XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.401,0.52584,0.19235
258,18bfc5f8c3df3ed838fa2e39c23a600e,KSSL.SSL,18bfc5f8c3df3ed838fa2e39c23a600e,159209XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.21438,9.837,0.04634
259,9ec49dadd82d548aa146e79d6e9511a3,KSSL.SSL,9ec49dadd82d548aa146e79d6e9511a3,281623XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.08086,0.52205,0.44391
260,f7a4ccbd2fd8750c679e43ff313575cd,KSSL.SSL,f7a4ccbd2fd8750c679e43ff313575cd,226235XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.0418,8.79559,0.24205
261,c0bfbf39baa8d0d7553529066274704e,KSSL.SSL,c0bfbf39baa8d0d7553529066274704e,243659XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.13529,2.56107,2.64722
262,2838d8b53594bdd8bc7032465f9a7926,KSSL.SSL,2838d8b53594bdd8bc7032465f9a7926,162287XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.78859,5.72792,0.3304
263,8e75b95f18c63777fa4651d60d1f8330,KSSL.SSL,8e75b95f18c63777fa4651d60d1f8330,159214XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.20493,2.2617,0.07006
264,de90184cbb51e9c7f8f7debee56ef76e,KSSL.SSL,de90184cbb51e9c7f8f7debee56ef76e,260107XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,1.29771,14.88431,0.56309
265,29d23181ffc8d70f77cd6d0d9804c336,KSSL.SSL,29d23181ffc8d70f77cd6d0d9804c336,154329XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.11377,1.45093,0.04473
266,b09d3df6476c9a2bd1260ed99c316ec1,KSSL.SSL,b09d3df6476c9a2bd1260ed99c316ec1,68201XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.02945,1.66747,0.15838
267,5ed1afe3bc164cfa0df02fe3cc928f49,KSSL.SSL,5ed1afe3bc164cfa0df02fe3cc928f49,68256XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.06286,8.66211,0.36249
268,7fa6a7587f8e77afc3d006721ea76ade,KSSL.SSL,7fa6a7587f8e77afc3d006721ea76ade,268358XN,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XN: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.1917,2.63475,0.17691
269,b70c21908127a922dbd4ce4005f413fb,KSSL.SSL,b70c21908127a922dbd4ce4005f413fb,226283XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.12557,2.97315,0.35342
270,3d2e01065bf7fdc0037423f929aff5f5,KSSL.SSL,3d2e01065bf7fdc0037423f929aff5f5,262819XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,3.51363,4.32996,0.20465
271,e3e665ce13a14a5da8c3572c2f43169b,KSSL.SSL,e3e665ce13a14a5da8c3572c2f43169b,152980XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.08577,3.79471,0.59319
272,523342aa103321af85032763d2b94abb,KSSL.SSL,523342aa103321af85032763d2b94abb,255671XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,2.42742,2.6583,1.47004
273,29455cc8eae37cf1072b8b26636f85b0,LUCAS.WOODWELL.SSL,29455cc8eae37cf1072b8b26636f85b0,12002,Bruker Vertex 70 with with PikeAutoDiff accessory,Bruker_Vertex_70.PikeAutoDiff,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.3390/s20236729,0.19,59.7,1.49828635735843
274,c1baec638c1045b2bb99d6f54c73e8a0,KSSL.SSL,c1baec638c1045b2bb99d6f54c73e8a0,255361XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.11377,37.72046,2.79539
275,e6d35ed6f409d4e1cdceb6bc00f448f5,KSSL.SSL,e6d35ed6f409d4e1cdceb6bc00f448f5,251405XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.02034,23.78419,0.29121
276,998094ed90a808b94d42d257fc1f8c27,KSSL.SSL,998094ed90a808b94d42d257fc1f8c27,255341XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.64527,21.70527,5.449
277,48a2251751dc4d72463945b3fd5966d2,KSSL.SSL,48a2251751dc4d72463945b3fd5966d2,251238XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.42893,20.51097,0.0
278,8cfcebdbeb273ea9e5ad1befc26f6529,KSSL.SSL,8cfcebdbeb273ea9e5ad1befc26f6529,168464XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.0,1.00085,0.26327
279,ebcd27f2c8751067973379b27ec051e3,KSSL.SSL,ebcd27f2c8751067973379b27ec051e3,154416XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.31703,9.44286,0.5778
280,6af48ceed55cee4a5d8d30974d286fd3,KSSL.SSL,6af48ceed55cee4a5d8d30974d286fd3,236831XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.04787,1.18875,0.0
281,0c18c20646f9c12e134b58694d80ac6f,KSSL.SSL,0c18c20646f9c12e134b58694d80ac6f,295461XN,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XN: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.11237,6.46371,0.37687
282,5c8bbc93a0158668272fb9ee6cc266fb,KSSL.SSL,5c8bbc93a0158668272fb9ee6cc266fb,256259XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.32417,25.13249,0.25419
283,2a99ffded85744370b107aecb555b71f,KSSL.SSL,2a99ffded85744370b107aecb555b71f,192188XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.00306,1.19521,0.37041
284,4fbe75a861568cd10e5c3909c3be6b6d,LUCAS.WOODWELL.SSL,4fbe75a861568cd10e5c3909c3be6b6d,12106,Bruker Vertex 70 with with PikeAutoDiff accessory,Bruker_Vertex_70.PikeAutoDiff,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.3390/s20236729,0.11,0.0,1.64816614660596
285,66973d35c14392d690cc93cf1b9e8306,KSSL.SSL,66973d35c14392d690cc93cf1b9e8306,161560XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,1.77589,2.40924,1.64808
286,fd600db4bffa3203140536951e98429e,KSSL.SSL,fd600db4bffa3203140536951e98429e,67647XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.71694,4.3913,0.60029
287,2db2985a5a4e1c26188177f33319d7a8,KSSL.SSL,2db2985a5a4e1c26188177f33319d7a8,64249XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.01616,0.69879,0.28966
288,9d3ea990c16c0dcea361b28113f5c9bd,KSSL.SSL,9d3ea990c16c0dcea361b28113f5c9bd,65448XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.01418,2.2257,0.0
289,68456d5f832f6d951ef6ba1a3cc9f49a,KSSL.SSL,68456d5f832f6d951ef6ba1a3cc9f49a,252728XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,1.91017,1.81744,0.0
290,2f5a749e92589fd18b41533e81008550,KSSL.SSL,2f5a749e92589fd18b41533e81008550,275019XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.05005,1.70069,0.0
291,b90ba3f655313e010db7cdfc03c6121c,KSSL.SSL,b90ba3f655313e010db7cdfc03c6121c,239265XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.05154,3.49304,0.53652
292,45b502bad51f2f871bded3c4dcc84ef6,KSSL.SSL,45b502bad51f2f871bded3c4dcc84ef6,222675XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.20092,6.14335,0.2099
293,ef60208e20ec4b1dfdc3e1f7ddd198d7,KSSL.SSL,ef60208e20ec4b1dfdc3e1f7ddd198d7,157285XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,2.14753,1.45344,0.0
294,38546557f57c94cc89b5f9e6dd4cb3e8,KSSL.SSL,38546557f57c94cc89b5f9e6dd4cb3e8,269499XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.93521,7.63696,0.58886
295,c96565d7dd852854b59bd74b57f5c9c2,KSSL.SSL,c96565d7dd852854b59bd74b57f5c9c2,253484XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,3.27383,0.27523,0.61211
296,0316815cbc802093747eeee9c674fbc2,KSSL.SSL,0316815cbc802093747eeee9c674fbc2,229638XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.03499,2.83416,0.70478
297,16fcf08fcb514fa9a814ac51d3a701b9,LUCAS.WOODWELL.SSL,16fcf08fcb514fa9a814ac51d3a701b9,11947,Bruker Vertex 70 with with PikeAutoDiff accessory,Bruker_Vertex_70.PikeAutoDiff,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.3390/s20236729,0.14,0.0,1.96071410302317
298,6b02e05077591d9a45a3e8179f36018d,KSSL.SSL,6b02e05077591d9a45a3e8179f36018d,251216XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.26705,5.99365,0.26822
299,33f782d7084f4715fbb743401feb63eb,KSSL.SSL,33f782d7084f4715fbb743401feb63eb,260087XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.56544,65.3155,2.18654
300,e8b4942f9fc771fc1bef4b80313ab90c,KSSL.SSL,e8b4942f9fc771fc1bef4b80313ab90c,258024XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.03038,2.094,0.36169
301,c15302e7f67c1d3279d9a244f5b672da,LUCAS.WOODWELL.SSL,c15302e7f67c1d3279d9a244f5b672da,11086,Bruker Vertex 70 with with PikeAutoDiff accessory,Bruker_Vertex_70.PikeAutoDiff,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.3390/s20236729,0.21,0.0,0.237863829351885
302,a397b492fc6cdab217e438468859d64c,KSSL.SSL,a397b492fc6cdab217e438468859d64c,256375XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.14413,1.54221,7.41514
303,a7a61aa23d25763bc591eabb5d3b0375,KSSL.SSL,a7a61aa23d25763bc591eabb5d3b0375,259715XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.55041,2.96812,0.07333
304,2f70e622d32f2140c60229d60a01557c,KSSL.SSL,2f70e622d32f2140c60229d60a01557c,256376XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.09112,1.11849,7.76105
305,68a628f080e1d51b72d93462284ee096,KSSL.SSL,68a628f080e1d51b72d93462284ee096,281129XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.0713,0.0,0.06204
306,0fef8a58a48486e1fe07b242673d1140,KSSL.SSL,0fef8a58a48486e1fe07b242673d1140,183388XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.32225,0.43613,0.05436
307,b77360781f20f4732a6e1ce7ceeae9a3,KSSL.SSL,b77360781f20f4732a6e1ce7ceeae9a3,65386XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.09385,3.74363,0.38772
308,be9cda887d5bd07de9da2ac90c233c42,LUCAS.WOODWELL.SSL,be9cda887d5bd07de9da2ac90c233c42,11923,Bruker Vertex 70 with with PikeAutoDiff accessory,Bruker_Vertex_70.PikeAutoDiff,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.3390/s20236729,0.21,0.0,0.625095912834416
309,c1c6e67144560cff74045af3c42d451a,LUCAS.WOODWELL.SSL,c1c6e67144560cff74045af3c42d451a,11757,Bruker Vertex 70 with with PikeAutoDiff accessory,Bruker_Vertex_70.PikeAutoDiff,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.3390/s20236729,0.22,0.0,1.70238886899586
310,9cf27c079257fc5eeb8597dff385afe2,LUCAS.WOODWELL.SSL,9cf27c079257fc5eeb8597dff385afe2,12025,Bruker Vertex 70 with with PikeAutoDiff accessory,Bruker_Vertex_70.PikeAutoDiff,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.3390/s20236729,0.13,86.1,3.20323290193872
311,02a25a0dd1a5f7984277f1f846e89943,LUCAS.WOODWELL.SSL,02a25a0dd1a5f7984277f1f846e89943,12016,Bruker Vertex 70 with with PikeAutoDiff accessory,Bruker_Vertex_70.PikeAutoDiff,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.3390/s20236729,0.07,0.0,3.12343342370454
312,acaea9267adf9737ad75fa2d3ff80f4f,KSSL.SSL,acaea9267adf9737ad75fa2d3ff80f4f,248129XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,1.10934,0.0,0.26119
313,f0a46a29f7a86081350c9851f4f6c660,LUCAS.WOODWELL.SSL,f0a46a29f7a86081350c9851f4f6c660,11996,Bruker Vertex 70 with with PikeAutoDiff accessory,Bruker_Vertex_70.PikeAutoDiff,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.3390/s20236729,0.22,12.3,1.76888843419101
314,12e34c12bdd8ba4185c6f502fbb21b59,GARRETT.SSL,12e34c12bdd8ba4185c6f502fbb21b59,S41004,Bruker Invenio-S with HTS-XT,Bruker_InvenioS_HTS.XT,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.6084/m9.figshare.20506587.v2,0.0467238205467372,0.2848333994709,0.0
315,4aa84e5faa7cb0d6e7712639aecddf48,LUCAS.WOODWELL.SSL,4aa84e5faa7cb0d6e7712639aecddf48,11791,Bruker Vertex 70 with with PikeAutoDiff accessory,Bruker_Vertex_70.PikeAutoDiff,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.3390/s20236729,0.15,61.0,0.503350555015602
316,89166bac7f9dcd23e7a3aa511dfa4329,LUCAS.WOODWELL.SSL,89166bac7f9dcd23e7a3aa511dfa4329,11161,Bruker Vertex 70 with with PikeAutoDiff accessory,Bruker_Vertex_70.PikeAutoDiff,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.3390/s20236729,0.11,23.4,0.0
317,801e7a34979c9469a1a89de957af64af,KSSL.SSL,801e7a34979c9469a1a89de957af64af,281580XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.296,2.25625,1.0227
318,f432cf44fec117d2e2e2ab38847addac,KSSL.SSL,f432cf44fec117d2e2e2ab38847addac,271692XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.40588,32.55222,0.28593
