sample_order,sample_id,dataset.code_ascii_txt,id.layer_uuid_txt,id.scan_local_c,scan.mir.model.name_utf8_txt,scan.mir.model.code_any_txt,scan.mir.method.preparation_any_txt,scan.mir.license.title_ascii_txt,scan.mir.license.address_idn_url,scan.mir.doi_idf_url,N,P,K
17,9e69bb72cbea5a83216fdf89f7bc688b,KSSL.SSL,9e69bb72cbea5a83216fdf89f7bc688b,155120XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.07727,0.82201,0.0
18,f9891181b6ea77c29ec998e834de145b,KSSL.SSL,f9891181b6ea77c29ec998e834de145b,130844XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.0264,4.27259,4.28215
19,8beacf87fc55813738d600c1ea2a9c7d,LUCAS.WOODWELL.SSL,8beacf87fc55813738d600c1ea2a9c7d,11939,Bruker Vertex 70 with with PikeAutoDiff accessory,Bruker_Vertex_70.PikeAutoDiff,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.3390/s20236729,0.12,10.1,0.316128702235408
20,7b7f800e58efbc3a88f09e818729645c,KSSL.SSL,7b7f800e58efbc3a88f09e818729645c,169647XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.11254,1.48386,0.39303
21,523b42168d37da22d1ed0c7c944dd149,KSSL.SSL,523b42168d37da22d1ed0c7c944dd149,226577XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.24852,24.46915,2.85259
22,98f2650032d8e2784cfef807bd8eb1db,LUCAS.WOODWELL.SSL,98f2650032d8e2784cfef807bd8eb1db,11911,Bruker Vertex 70 with with PikeAutoDiff accessory,Bruker_Vertex_70.PikeAutoDiff,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.3390/s20236729,0.07,0.0,0.419458795846335
23,01fc386431af7ef46743dcb5fd1b13bd,KSSL.SSL,01fc386431af7ef46743dcb5fd1b13bd,248138XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,1.05686,22.68916,0.39992
24,b06ef2ff977073c8a423f935c3707702,KSSL.SSL,b06ef2ff977073c8a423f935c3707702,287120XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.06205,8.76614,4.67686
25,81228fd19ca25eb008810fdd04a25070,LUCAS.WOODWELL.SSL,81228fd19ca25eb008810fdd04a25070,11140,Bruker Vertex 70 with with PikeAutoDiff accessory,Bruker_Vertex_70.PikeAutoDiff,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.3390/s20236729,0.04,16.5,1.17755383907105
26,5db409bd7e44e43453b43ed15d6c220b,KSSL.SSL,5db409bd7e44e43453b43ed15d6c220b,192195XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.0,14.69233,0.1184
