family,target,budget,repeat,fold,model,preprocessing,fit_seconds,model_bytes,mae,rmse,r2,rpiq,baseline_rmse,rmse_improvement_pct,best_epoch,validation_loss,parameters,device
PLS–RBF-SVR,N,60,1,1,PLS–RBF-SVR,SNV + latent scores,0.029460375022608787,503757,0.3245802087699595,0.4733142626935695,0.6069949744495919,0.7688760485031212,0.8273192038798165,42.78940214684933,,,,
PLS–RBF-SVR,N,60,1,2,PLS–RBF-SVR,SNV + latent scores,0.004606666014296934,504217,0.24851144358361432,0.31235464179194555,0.44313177407691595,1.104921950319163,0.46707949910409613,33.12602193179703,,,,
PLS–RBF-SVR,N,60,1,3,PLS–RBF-SVR,SNV + latent scores,0.0038878330087754875,504125,0.3734754783625784,0.47161682774688185,-0.41810943524800215,0.9449938462314478,0.4375478100257541,-7.786353157412088,,,,
PLS–RBF-SVR,N,60,1,4,PLS–RBF-SVR,SNV + latent scores,0.004395791998831555,504217,0.2487918214299246,0.33549146958785986,0.7907770947658745,1.0999609034868698,0.814515361273193,58.8109094635805,,,,
PLS–RBF-SVR,N,60,1,5,PLS–RBF-SVR,SNV + latent scores,0.004260500019881874,504033,0.33393702075991644,0.7116996194668234,0.5205970121462549,1.3299571534253485,1.1990443582112937,40.644429491456,,,,
PLS–RBF-SVR,P,60,1,1,PLS–RBF-SVR,SNV + latent scores,0.004540707974229008,505045,15.12167978696723,23.586086060871253,-0.3715942165338151,0.6570581469093281,24.156710923220352,2.362179454656606,,,,
PLS–RBF-SVR,P,60,1,2,PLS–RBF-SVR,SNV + latent scores,0.0048068340111058205,505413,8.932431524669612,14.734068905969671,-2.01414145687209,0.5582755213440925,8.905309097695598,-65.45263891830959,,,,
PLS–RBF-SVR,P,60,1,3,PLS–RBF-SVR,SNV + latent scores,0.003985666000517085,505321,18.670088648610307,29.138983474791473,0.10565195275904171,1.0281440505952444,35.065729919698306,16.901819692558174,,,,
PLS–RBF-SVR,P,60,1,4,PLS–RBF-SVR,SNV + latent scores,0.0044009999837726355,505229,19.587138389632674,37.99590252759291,-0.20459493290329656,0.44358829186278986,37.77928612426888,-0.5733734687614459,,,,
PLS–RBF-SVR,P,60,1,5,PLS–RBF-SVR,SNV + latent scores,0.004354082979261875,505321,10.926357782795755,15.395645814974543,-0.923324736474161,0.6697187389158608,11.516071309372032,-33.688350839276474,,,,
