target,budget,n_folds,mae_median,mae_q025,mae_q975,rmse_median,rmse_q025,rmse_q975,r2_median,r2_q025,r2_q975,rpiq_median,rpiq_q025,rpiq_q975,baseline_rmse_median,baseline_rmse_q025,baseline_rmse_q975,rmse_improvement_pct_median,rmse_improvement_pct_q025,rmse_improvement_pct_q975
K,60,5,0.9072522312383512,0.8580582955500877,2.7580041877871113,1.5239969007758418,1.0343387817951846,4.268427511204376,-0.06704928715311498,-1.1667632954667573,0.09495852484303682,0.6995424768319997,0.13001009521597012,1.5617334108847902,1.7422233128591942,0.8100439928862758,4.258075022548805,9.012677446162478,-44.006077990127196,12.395492855441978
K,120,5,1.0060925904651115,0.7796709582957589,1.6760818996591096,1.640543773938212,1.373932124128807,3.5940528063628383,-0.029740485836682762,-0.4507946465095858,0.04579820658656911,0.8124150791786171,0.2811252982665882,1.0395961212835467,1.6675276701993704,1.2055178623700742,3.892959826815275,7.598647198883889,-16.203132060424483,13.07631512080951
K,180,5,0.7449151553381683,0.6521353625347557,1.449909088160675,1.1283530271516438,0.8709808415630617,2.7310714770481,0.054650250880029616,-0.03577199202656274,0.12265186091907498,0.6470661733063013,0.5631342900667416,1.5794330494470197,1.2378774138601372,0.977047725526068,3.059387497830929,10.45759635756944,7.613602699995918,13.10374553655167
K,240,5,0.9216669969108997,0.7116414374390623,1.049673177866223,1.4481647155946344,1.151194971457524,2.1660726883232093,0.1090502987886034,-0.02500367312639946,0.13318800073791148,0.5847362191428928,0.47978268148817205,1.0920561860551596,1.6445064057924157,1.3565737456804083,2.3979313097170305,11.916378943329759,8.372108977573598,15.61791482527769
K,300,5,0.9259323461031976,0.6180961166999123,1.1727866038059722,1.4905196987877285,0.9418745892661076,2.1051781510605947,0.07283140130006671,-0.19026420437554045,0.2878156231627192,0.8429850687868863,0.4555921252439558,1.4785555650600948,1.7944552577890898,0.9913010292671727,2.2555117577821506,9.606959914572654,-0.12463813788619127,23.323318358213026
K,1000,5,0.7381597687181164,0.67689097811406,0.9121603179692608,1.212597011828852,1.0534397228141024,2.1147636087123116,0.17286119828772029,0.08074572899977249,0.3794267612248053,0.806882394666481,0.530642739791849,0.9840357359534825,1.4706884680181938,1.2668658553636363,2.381657945663552,14.856268989275913,10.213229435461828,27.466164986545948
N,60,5,0.3895395159391562,0.22155528968163332,0.48143953885218743,0.6719973611869486,0.3072433332724369,0.9099635991051609,0.2078014262618757,0.05804455342062723,0.4537720115522734,1.016229357355985,0.5174261323846886,1.3374103817552283,0.814515361273193,0.4405009789335883,1.161871842778146,22.32032560162702,12.662086404193511,33.7468950143235
N,120,5,0.2137832202974955,0.10353588835614456,0.5717203222650855,0.3102738857942123,0.15523085825082117,0.9240439329609064,0.7589520624325197,-0.3394508756074548,0.8901116208969139,0.7964609213060774,0.5477659972330191,1.2743542260422218,0.7145803969113622,0.46395898467337815,0.9855363399675784,56.5795693339319,6.000490457358554,67.79307093395819
N,180,5,0.20978498279992078,0.20005760947076273,0.24736756380280234,0.34947770974706527,0.2920057415855336,0.5883893361197228,0.7284005576058576,0.13888832249614802,0.8090345561512426,1.1799438555792725,0.6032941815342701,2.0392449535316572,0.6916219281567669,0.5842377847924475,0.8262379634532007,51.111879204431666,13.81370963411075,60.95838621119832
N,240,5,0.21335736284477017,0.1699258419769416,0.25416801723090504,0.32773252445993895,0.26920123023413345,0.4777480936249156,0.7222985061126518,0.33475605253975993,0.8150673402552703,1.3751600993340884,0.6175330527448392,2.4145270863175776,0.6589564844190157,0.6263512280693511,0.8068582281646978,53.152932230260575,24.153235849909752,60.279141586971086
N,300,5,0.1892520748380939,0.14841828851947933,0.3178600391725905,0.3976635146546364,0.23314307120965197,0.5959221576468752,0.7201715562600037,0.42416617536793794,0.8488332728388553,1.2444566367366896,0.6162453632872187,1.733783897110321,0.6828521291514487,0.536062879648823,0.8760678109243822,51.3133125625613,30.896083032195698,64.77915987834855
N,1000,5,0.14571010115106373,0.11851546905765968,0.17606180670168406,0.28511262882884175,0.21343956626895283,0.33780855869667387,0.8151838161173766,0.7528060643281466,0.89671122220109,1.271562059257194,1.0520051666715762,1.8311907516204047,0.7293768163776964,0.6048841161613326,0.8710164003582712,61.51000403123199,53.19631528794803,70.54620336026234
P,60,5,13.816651421254472,6.618092440578142,24.69900271292607,24.118029663096994,8.893941627941748,38.450227983362744,-0.17500889648942541,-0.5524252377611165,0.11475006272180509,0.7770904636043828,0.4684810150985108,0.992477224774878,24.156710923220352,9.166385318863242,37.50793050381182,0.6693953666370824,-8.934126801389178,9.459345880760806
P,120,5,10.716165083488393,7.724814397614598,21.55357078664032,18.532094511019874,11.777821538323902,36.90427394341945,-0.024324098920019077,-0.3801047949421082,0.13861602460562064,0.6790448140791671,0.6519170768084885,1.1255235499982155,19.76847331360908,13.142889179329364,36.86941147841375,4.2087235016637505,-2.172541711866271,10.7844479349545
P,180,5,15.240127502187091,7.5682922363149485,16.50343042211038,24.223477447773966,11.555673297397536,33.37847210166409,-0.1614260057245489,-0.34608836609077687,0.14087036148345305,0.9348404888944212,0.47632655473237095,0.9993976064506148,25.108671899010805,12.49992114904783,33.901286588721355,2.4030898221298953,-0.9715221692186206,9.00904951509399
P,240,5,12.881007442789079,10.376992968141959,18.758393050376228,20.115815669599343,18.105755804389773,38.14590067156164,-0.23347762476951495,-0.30760137476290855,0.025716330931620218,0.8274342308063797,0.5195572771330532,0.9463398637828989,20.610192428961092,17.716932698600854,39.025169141342495,2.221993913025398,-2.4488735505679733,4.37443169171061
P,300,5,12.645257770863624,11.00832341692501,13.946343651789896,23.663713728961316,22.065462225923554,25.1702517931623,-0.11895468189251934,-0.2542461546876249,0.007584472051858294,0.685026563694469,0.36300140790401914,0.855257144860557,24.563418800971696,22.586016834728547,26.003138938896473,3.652256394641376,-0.23482193306772692,4.737211815950879
P,1000,5,13.173833340922068,9.985316965537454,15.123393731773078,25.301700938531773,21.174504729573698,35.615990552980904,-0.06346808531713233,-0.07771471921618953,-0.023679856205117256,0.6100926786503925,0.4871961983908039,0.6958763605284107,26.217029245656242,21.579038633902833,36.55725768673224,3.4913502157233336,1.4803430359058096,5.370779902636125
